Year,Month,Arrivals_sjo,Arrivals_lir
2009,1,109227,0.0
2009,2,112108,0.0
2009,3,103876,0.0
2009,4,84500,0.0
2009,5,70200,0.0
2009,6,82500,0.0
2009,7,89400,0.0
2009,8,75600,0.0
2009,9,53100,0.0
2009,10,61200,0.0
2009,11,81500,0.0
2009,12,108700,0.0
2010,1,121700,0.0
2010,2,135400,0.0
2010,3,118200,0.0
2010,4,90500,0.0
2010,5,98400,0.0
2010,6,92600,0.0
2010,7,102100,0.0
2010,8,61400,0.0
2010,9,41100,0.0
2010,10,44400,0.0
2010,11,63900,0.0
2010,12,68600,0.0
2011,1,128500,0.0
2011,2,141300,0.0
2011,3,125100,0.0
2011,4,92000,0.0
2011,5,103100,0.0
2011,6,101200,0.0
2011,7,104900,0.0
2011,8,61900,0.0
2011,9,47100,0.0
2011,10,46300,0.0
2011,11,66900,0.0
2011,12,69200,0.0
2012,1,130400,0.0
2012,2,154300,0.0
2012,3,119100,0.0
2012,4,89500,0.0
2012,5,97200,0.0
2012,6,91400,0.0
2012,7,100800,0.0
2012,8,60600,0.0
2012,9,40600,0.0
2012,10,43900,0.0
2012,11,63100,0.0
2012,12,67800,0.0
2013,1,127300,0.0
2013,2,140100,0.0
2013,3,117100,0.0
2013,4,88400,0.0
2013,5,96100,0.0
2013,6,90300,0.0
2013,7,99600,0.0
2013,8,59900,0.0
2013,9,40100,0.0
2013,10,43300,0.0
2013,11,62500,0.0
2013,12,67100,0.0
2014,1,133358,42197.0
2014,2,145200,43015.0
2014,3,122100,48500.0
2014,4,93000,35100.0
2014,5,101100,26300.0
2014,6,95200,32100.0
2014,7,104800,35800.0
2014,8,64000,25200.0
2014,9,43100,12300.0
2014,10,46500,15400.0
2014,11,66800,32100.0
2014,12,71400,48500.0
2015,1,141200,50100.0
2015,2,153100,51015.0
2015,3,130000,56500.0
2015,4,100900,43100.0
2015,5,109000,34300.0
2015,6,103100,40100.0
2015,7,112700,43800.0
2015,8,71900,33200.0
2015,9,51000,20300.0
2015,10,54400,23400.0
2015,11,74700,40100.0
2015,12,79300,56500.0
2016,1,149100,58100.0
2016,2,161000,59015.0
2016,3,137900,64500.0
2016,4,108800,51100.0
2016,5,116900,42300.0
2016,6,111000,48100.0
2016,7,120600,51800.0
2016,8,79800,41200.0
2016,9,58900,28300.0
2016,10,62300,31400.0
2016,11,82600,48100.0
2016,12,87200,64500.0
2017,1,157200,66100.0
2017,2,169100,67015.0
2017,3,146000,72500.0
2017,4,116900,59100.0
2017,5,125000,50300.0
2017,6,119100,56100.0
2017,7,128700,59800.0
2017,8,87900,49200.0
2017,9,67000,36300.0
2017,10,70400,39400.0
2017,11,90700,56100.0
2017,12,95300,72500.0
2018,1,178918,81000.0
2018,2,181955,87200.0
2018,3,196190,84000.0
2018,4,145147,76400.0
2018,5,126632,61400.0
2018,6,150809,62000.0
2018,7,164246,69600.0
2018,8,137510,63000.0
2018,9,93255,42200.0
2018,10,112868,45600.0
2018,11,144194,65600.0
2018,12,185319,70400.0
2019,1,178918,69709.0
2019,2,181955,68851.0
2019,3,196190,79612.0
2019,4,145147,53689.0
2019,5,126632,38257.0
2019,6,150809,46057.0
2019,7,164246,48724.0
2019,8,137510,36456.0
2019,9,93255,18672.0
2019,10,112868,22290.0
2019,11,144194,46959.0
2019,12,185319,70157.0
2020,1,180599,80851.0
2020,2,196893,79941.0
2020,3,89275,37826.0
2020,4,400,91.0
2020,5,471,42.0
2020,6,542,83.0
2020,7,387,31.0
2020,8,1597,39.0
2020,9,3109,262.0
2020,10,8467,1421.0
2020,11,27007,9035.0
2020,12,51893,19106.0
2021,1,43728,16891.0
2021,2,40344,14401.0
2021,3,62017,26374.0
2021,4,58675,27169.0
2021,5,58891,31430.0
2021,6,74944,42583.0
2021,7,98114,48801.0
2021,8,81231,32996.0
2021,9,60435,17163.0
2021,10,67833,23459.0
2021,11,98337,42761.0
2021,12,137875,64026.0
2022,1,114505,55076.0
2022,2,124895,59463.0
2022,3,149831,75574.0
2022,4,129631,64537.0
2022,5,108643,52260.0
2022,6,129027,57039.0
2022,7,143926,60920.0
2022,8,114216,45478.0
2022,9,78618,24050.0
2022,10,87276,29604.0
2022,11,121965,59690.0
2022,12,153395,77888.0
2023,1,155599,84785.0
2023,2,171100,78848.0
2023,3,182340,84148.0
2023,4,143332,67305.0
2023,5,115661,52553.0
2023,6,142025,60177.0
2023,7,158915,64330.0
2023,8,129015,45867.0
2023,9,86140,25517.0
2023,10,95200,33971.0
2023,11,140427,72171.0
2023,12,181002,100051.0
2024,1,168839,101806.0
2024,2,190170,100928.0
2024,3,206299,115998.0
2024,4,144234,77298.0
2024,5,132699,66417.0
2024,6,152051,75376.0
2024,7,162543,76779.0
2024,8,131669,51106.0
2024,9,81853,23209.0
2024,10,91106,31021.0
2024,11,141085,60017.0
2024,12,176981,101334.0
2025,1,164756,101846.0
2025,2,194319,96210.0
2025,3,195680,117044.0
2025,4,149696,81894.0
2025,5,127866,61961.0
2025,6,139810,77274.0
2025,7,162479,79891.0
2025,8,132838,49477.0
2025,9,82054,22176.0
2025,10,98574,30779.0
2025,11,154096,71524.0
2025,12,201440,114686.0
